Sample,Rep,Set,mAU,short_name_antho,Extract_ini_vol,Extract_final_vol,Skin_weight_aft,Berry_weight,Berry_numb
B1R4,2,Harvest,53.324,D3Gac,47,52,7.04,51.59,60
B1R4,3,Harvest,49.527,D3Gac,47,54.5,8.19,51.77,60
B2R1,1,Harvest,54.444,D3Gac,60,50.5,9.79,67.05,60
B2R1,2,Harvest,44.756,D3Gac,60,53.5,10.54,67.21,60
B2R1,3,Harvest,53.399,D3Gac,61,50.5,10.56,67.11,60
B2R2,1,Harvest,54.771,D3Gac,58,51,10.42,64.16,60
B2R2,2,Harvest,44.381,D3Gac,58,53,10.23,64.18,60
B2R2,3,Harvest,44.658,D3Gac,58,54.5,10.71,64.23,60
B2R3,1,Harvest,38.922,D3Gac,52,53.5,7.54,57.23,60
B2R3,2,Harvest,37.065,D3Gac,52,59,7.01,56.82,60
B2R3,3,Harvest,34.469,D3Gac,52,54,7.31,57.06,60
B3R1,1,Harvest,38.566,D3Gac,56,57.5,8.93,62.67,60
B3R1,2,Harvest,31.748,D3Gac,56,55.5,9.59,62.56,60
B3R1,3,Harvest,34.548,D3Gac,56,52.5,8.9,62.95,60
B3R2,1,Harvest,41.069,D3Gac,55,56.5,9.17,61.52,60
B3R2,2,Harvest,49.422,D3Gac,55,52.5,9.66,61.82,60
B3R2,3,Harvest,41.831,D3Gac,55,59,8.45,61.45,60
B3R3,1,Harvest,58.866,D3Gac,54,54,8.69,60.68,60
B3R3,2,Harvest,49.457,D3Gac,54,51,8.82,60.48,60
B3R3,3,Harvest,44.548,D3Gac,54,54,8.45,60.31,60
B1R2,1,1st point,21.522,D3Gac,56,55.5,6.57,60.8,60
B1R2,2,1st point,19.137,D3Gac,56,54.5,6.69,60.8,60
B1R2,3,1st point,15.572,D3Gac,56,55,5.95,60.5,60
B1R3,1,1st point,40.206,D3Gac,34,52.5,4.94,42,60
B1R3,2,1st point,28.371,D3Gac,34,53,5.25,42,60
B1R3,3,1st point,27.507,D3Gac,34,54.5,5.1,42.3,60
B1R4,1,1st point,33.140,D3Gac,36,51.5,5.8,44.8,60
B1R4,2,1st point,37.408,D3Gac,36,50,5.66,44.7,60
B1R4,3,1st point,28.099,D3Gac,36,54,6.27,45,60
B2R1,1,1st point,23.093,D3Gac,50,50,6.32,54.9,60
B2R1,2,1st point,22.309,D3Gac,50,53,5.99,54.9,60
B2R1,3,1st point,25.662,D3Gac,50,52,5.92,55.1,60
B2R2,1,1st point,55.575,D3Gac,54,52.5,6.6,59.6,60
B2R2,2,1st point,49.651,D3Gac,54,52,7.08,59.2,60
B2R2,3,1st point,35.510,D3Gac,54,54,6.92,59.3,60
B2R3,1,1st point,25.300,D3Gac,44,52,5.74,47,60
B2R3,2,1st point,17.621,D3Gac,44,51,5.77,47,60
B2R3,3,1st point,13.964,D3Gac,44,51.5,6.3,46.9,60
B3R1,1,1st point,33.928,D3Gac,48,57,6.38,51.9,60
B3R1,2,1st point,25.835,D3Gac,48,56,6.52,51.9,60
