Sample,Rep,Set,Concentration_mg_berry,Antho_type,Antho_short_name,treatment
B1R4,3,1st point,0.002996348,Cyanindin-3-(6-acetyl) glucoside,C3Gac,1
B1R4,1,Harvest,0.011316775,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,1
B1R4,2,Harvest,0.011892275,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,1
B1R4,3,Harvest,0.011653478,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,1
B1R4,1,1st point,0.008253103,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,1
B1R4,2,1st point,0.008778678,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,1
B1R4,3,1st point,0.007570406,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,1
B1R4,1,Harvest,0.012014461,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,1
B1R4,2,Harvest,0.013459236,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,1
B1R4,3,Harvest,0.013230759,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,1
B1R4,1,1st point,0.009461985,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,1
B1R4,2,1st point,0.009720798,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,1
B1R4,3,1st point,0.008597413,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,1
B1R4,1,Harvest,0.102953123,Malvidin-3-(6-acetyl) glucoside,M3Gac,1
B1R4,2,Harvest,0.108427744,Malvidin-3-(6-acetyl) glucoside,M3Gac,1
B1R4,3,Harvest,0.106041185,Malvidin-3-(6-acetyl) glucoside,M3Gac,1
B1R4,1,1st point,0.047829155,Malvidin-3-(6-acetyl) glucoside,M3Gac,1
B1R4,2,1st point,0.049587811,Malvidin-3-(6-acetyl) glucoside,M3Gac,1
B1R4,3,1st point,0.042026703,Malvidin-3-(6-acetyl) glucoside,M3Gac,1
B1R4,1,Harvest,0.006142674,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,1
B1R4,2,Harvest,0.007220859,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,1
B1R4,3,Harvest,0.006983719,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,1
B1R4,1,1st point,0.005561767,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,1
B1R4,2,1st point,0.005606622,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,1
B1R4,3,1st point,0.00492672,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,1
B1R4,1,Harvest,0.022608126,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,1
B1R4,2,Harvest,0.025631343,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,1
B1R4,3,Harvest,0.024088454,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,1
B1R4,1,1st point,0.009385228,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,1
B1R4,2,1st point,0.009502895,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,1
B1R4,3,1st point,0.00811236,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,1
