Sample,Rep,Set,percentage_antho,Antho_type,Antho_short_name,treatment,Concentration_mg_berry
B2R1,3,1st point,4.37,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,2,0.010290563
B2R1,1,Harvest,25.54,Malvidin-3-(6-acetyl) glucoside,M3Gac,2,0.152186285
B2R1,2,Harvest,26.28,Malvidin-3-(6-acetyl) glucoside,M3Gac,2,0.143257454
B2R1,3,Harvest,25.53,Malvidin-3-(6-acetyl) glucoside,M3Gac,2,0.147134052
B2R1,1,1st point,24.92,Malvidin-3-(6-acetyl) glucoside,M3Gac,2,0.052888051
B2R1,2,1st point,25.91,Malvidin-3-(6-acetyl) glucoside,M3Gac,2,0.057773288
B2R1,3,1st point,25.46,Malvidin-3-(6-acetyl) glucoside,M3Gac,2,0.059993265
B2R1,1,Harvest,1.39,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,2,0.008264996
B2R1,2,Harvest,1.43,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,2,0.00778758
B2R1,3,Harvest,1.46,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,2,0.008424019
B2R1,1,1st point,2.8,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,2,0.005945283
B2R1,2,1st point,2.85,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,2,0.006358331
B2R1,3,1st point,2.73,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,2,0.006423744
B2R1,1,Harvest,6.19,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,2,0.036895839
B2R1,2,Harvest,6.11,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,2,0.033302979
B2R1,3,Harvest,6.18,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,2,0.035637292
B2R1,1,1st point,5.64,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,2,0.011972156
